!
! ASCII generated by Digitized Shape Editor/CATIA
!
! Without Scans
! Point Format           = 'X %f Y %f Z %f'
!
! Total number of points = 36322
!
X -26.041140 Y 18.775000 Z -27.850361
X -25.975491 Y 18.789511 Z -27.903580
X -25.909679 Y 18.804100 Z -27.956770
X -25.843710 Y 18.818769 Z -28.009930
X -25.777590 Y 18.833509 Z -28.063070
X -25.711290 Y 18.848330 Z -28.116190
X -25.644831 Y 18.863220 Z -28.169279
X -25.578190 Y 18.878189 Z -28.222349
X -25.511370 Y 18.893221 Z -28.275410
X -25.444370 Y 18.908340 Z -28.328461
X -25.377190 Y 18.923510 Z -28.381491
X -25.309820 Y 18.938761 Z -28.434509
X -25.242260 Y 18.954069 Z -28.487499
X -25.174509 Y 18.969460 Z -28.540470
X -25.106569 Y 18.984900 Z -28.593410
X -25.038441 Y 19.000420 Z -28.646330
X -24.970119 Y 19.016010 Z -28.699221
X -24.901609 Y 19.031670 Z -28.752090
X -24.832911 Y 19.047409 Z -28.804920
